iter	Passed	Remaining
0	3	3985
1	7	3510
2	10	3420
3	13	3241
4	16	3196
5	18	3069
6	21	3017
7	24	3038
8	27	3004
9	28	2857
10	32	2898
11	35	2910
12	38	2931
13	39	2795
14	43	2829
15	46	2846
16	49	2859
17	52	2870
18	55	2874
19	58	2872
20	61	2880
21	64	2887
22	67	2882
23	71	2892
24	73	2879
25	76	2875
26	79	2867
27	82	2860
28	84	2839
29	87	2823
30	90	2815
31	92	2799
32	95	2786
33	97	2772
34	100	2768
35	103	2767
36	105	2751
37	108	2742
38	110	2733
39	113	2726
40	116	2723
41	118	2712
42	121	2698
43	123	2689
44	126	2679
45	129	2680
46	132	2676
47	134	2675
48	137	2671
49	140	2665
50	143	2662
51	145	2654
52	148	2646
53	150	2642
54	153	2635
55	156	2634
56	159	2633
57	162	2642
58	165	2640
59	169	2649
60	171	2641
61	174	2640
62	177	2643
63	180	2638
64	183	2640
65	186	2636
66	189	2638
67	192	2636
68	195	2636
69	197	2630
70	200	2625
71	203	2622
72	206	2618
73	209	2622
74	211	2613
75	214	2606
76	217	2604
77	219	2597
78	221	2587
79	224	2584
80	227	2582
81	230	2581
82	233	2579
83	236	2581
84	239	2582
85	242	2581
86	245	2577
87	248	2573
88	251	2570
89	253	2564
90	256	2566
91	259	2563
92	262	2561
93	265	2557
94	268	2560
95	271	2556
96	273	2549
97	276	2546
98	279	2540
99	281	2536
100	284	2529
101	286	2526
102	289	2521
103	291	2514
104	294	2506
105	297	2505
106	299	2500
107	302	2500
108	305	2493
109	307	2490
110	310	2488
111	313	2482
112	316	2482
113	318	2477
114	321	2477
115	324	2476
116	327	2473
117	330	2472
118	333	2469
119	336	2469
120	339	2467
121	343	2471
122	346	2467
123	348	2464
124	351	2461
125	354	2461
126	357	2459
127	360	2456
128	364	2458
129	367	2457
130	370	2456
131	373	2453
132	375	2450
133	378	2445
134	380	2439
135	383	2435
136	385	2429
137	388	2425
138	390	2419
139	392	2413
140	396	2412
141	398	2407
142	400	2400
143	403	2397
144	405	2393
145	408	2390
146	411	2387
147	414	2383
148	417	2383
149	420	2380
150	423	2380
151	425	2376
152	429	2377
153	432	2375
154	435	2376
155	438	2372
156	441	2368
157	443	2365
158	446	2361
159	449	2360
160	452	2356
161	455	2356
162	458	2354
163	461	2350
164	463	2347
165	466	2344
